135208,100
137044,8
139016,66
140904,100
145851,100
146546,100
146894,66
147704,100
148407,100
148482,75
149057,100
150660,91
154468,100
155249,100
155291,100
155330,100
155452,75
155742,100
156315,100
156339,100
156351,100
156975,91
157149,100
157460,100
157810,100
157955,100
158339,100
158476,100
159671,100
159809,83
159857,91
159978,91
160120,75
160284,100
160343,100
160524,75
160552,100
163219,100
164495,100
164930,100
165246,100
166006,100
166203,100
166216,100
166605,100
166690,100
166754,100
166974,100
167557,100
167611,100
167792,100
167852,100
168923,100
168958,100
169362,
169440,100
169614,100
170093,100
170490,100
170501,100
170715,83
170912,100
171329,91
172035,8
172125,100
172323,100
173577,100
173642,100
173906,100
174303,100
174516,100
174577,100
174968,100
175476,100
175480,100
175857,100
176219,100
176652,100
177223,100
177634,100
178499,100
187646,100
